name,description,category,image,calories,protein,carbohydrates,fat,fiber,sugar,nutritionDensityScore,sodium,cholesterol,calcium,iron,potassium,magnesium,zinc,vitaminA,vitaminC,vitaminD,vitaminE,vitaminK
egg cheese sandwich,Egg Cheese Sandwich is a nutritious food rich in essential nutrients.,Dairy,,340,15.6,25.9,19.4,0.0,0.0,290.4,0.8,290.5,224.8,3.0,188.3,21.9,1.6,0.2,1.5,0.0,0.0,0.0
biscuit with egg bacon,Biscuit With Egg Bacon is a nutritious food rich in essential nutrients.,Meat,,458,17.0,28.6,31.1,0.8,3.3,272.958,1.3,352.5,189.0,3.7,250.5,24.0,1.6,0.082,2.7,0.066,2.0,0.098
pupusas con queso,Pupusas Con Queso is a nutritious food rich in essential nutrients.,Others,,300,13.7,26.2,15.5,3.4,1.4,439.9,0.5,37.4,380.3,0.7,140.4,42.1,2.2,0.1,0.0,0.0,0.5,0.073
apple croissant,Apple Croissant is a nutritious food rich in essential nutrients.,Fruits,,145,4.2,21.1,5.0,1.4,0.0,49.733,0.2,17.7,17.1,0.6,51.3,7.4,0.6,0.031,0.3,0.0,0.0,0.0
refried red beans,Refried Red Beans is a nutritious food rich in essential nutrients.,Legumes,,336,11.7,36.0,16.1,11.0,0.0,156.2,0.9,0.0,76.9,4.5,722.3,83.9,1.6,0.0,0.0,0.0,2.4,0.0
tostada with guacamole,Tostada With Guacamole is a nutritious food rich in essential nutrients.,Others,,180,6.2,16.0,11.6,0.0,0.0,247.853,0.4,19.6,211.4,0.8,324.9,36.5,2.0,0.016,1.8,0.0,0.0,0.0
chicken sandwich,Chicken Sandwich is a nutritious food rich in essential nutrients.,Meat,,468,30.4,39.1,20.9,2.6,6.8,94.051,1.4,65.5,0.012,0.2,346.0,3.3,0.064,0.077,0.7,1.5,0.031,4.5
fried rice,Fried Rice is a nutritious food rich in essential nutrients.,Grains,,228,6.5,43.4,3.2,1.5,0.6,75.203,0.6,32.2,19.6,1.0,123.2,14.0,1.1,0.076,0.0,0.059,0.2,0.081
pupusas del cerdo,Pupusas Del Cerdo is a nutritious food rich in essential nutrients.,Others,,283,14.0,28.1,12.7,3.2,1.8,119.087,0.5,35.4,59.8,1.2,311.1,46.4,2.0,0.064,0.0,0.0,0.4,0.016
turkey pot pie,Turkey Pot Pie is a nutritious food rich in essential nutrients.,Meat,,699,25.8,70.3,34.9,4.4,0.0,139.4,1.4,63.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheese croissant,Cheese Croissant is a nutritious food rich in essential nutrients.,Dairy,,331,7.4,37.6,16.7,2.1,9.1,108.3,0.3,45.6,42.4,1.7,105.6,19.2,0.8,0.2,0.2,0.0,1.2,0.022
chimichanga with beef,Chimichanga With Beef is a nutritious food rich in essential nutrients.,Meat,,425,19.6,42.8,19.7,0.0,0.0,153.9,0.9,8.7,62.6,4.5,586.4,62.6,5.0,0.0,4.7,0.0,0.0,0.0
french toast with butter,French Toast With Butter is a nutritious food rich in essential nutrients.,Dairy,,178,5.2,18.0,9.4,0.0,0.0,70.093,0.3,58.1,36.5,0.9,88.4,8.1,0.3,0.088,0.004,0.0,0.0,0.0
ham egg cheese sandwich,Ham Egg Cheese Sandwich is a nutritious food rich in essential nutrients.,Dairy,,347,19.2,30.9,16.3,0.0,0.0,284.0,1.0,246.0,211.6,3.1,210.2,25.7,2.0,0.2,2.7,0.0,0.0,0.0
english muffin with butter,English Muffin With Butter is a nutritious food rich in essential nutrients.,Dairy,,189,4.9,30.4,5.8,0.0,0.0,146.209,0.4,12.6,102.7,1.6,69.3,13.2,0.4,0.089,0.8,0.0,0.1,0.0
savoury noodle one pan dinner tandaco,Savoury Noodle One Pan Dinner Tandaco is a nutritious food rich in essential nutrients.,Others,,172,0.0,5.5,1.2,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ham cheese sandwich,Ham Cheese Sandwich is a nutritious food rich in essential nutrients.,Dairy,,352,20.7,33.3,15.5,0.0,0.0,205.416,0.8,58.4,129.9,3.2,290.5,16.1,1.4,0.019,2.8,0.0,0.3,0.0
sweet gefilte fish,Sweet Gefilte Fish is a nutritious food rich in essential nutrients.,Seafood,,35,3.8,3.1,0.7,0.0,0.0,18.677,0.2,12.6,9.7,1.0,38.2,3.8,0.3,0.062,0.3,0.0,0.0,0.0
poached egg,Poached Egg is a nutritious food rich in essential nutrients.,Eggs,,72,6.3,0.4,4.7,0.0,0.2,40.398,0.1,185.0,28.0,0.9,69.0,6.0,0.6,0.088,0.0,0.084,0.5,0.032
tostada with beef cheese,Tostada With Beef Cheese is a nutritious food rich in essential nutrients.,Dairy,,315,19.0,22.8,16.3,0.0,0.0,280.498,0.9,40.8,216.8,2.9,572.1,63.6,3.7,0.022,2.6,0.0,0.0,0.0
tostada with beans cheese,Tostada With Beans Cheese is a nutritious food rich in essential nutrients.,Dairy,,223,9.6,26.5,9.9,0.0,0.0,259.467,0.5,30.2,210.2,1.9,403.2,59.0,1.9,0.011,1.3,0.0,0.0,0.0
pork tamale,Pork Tamale is a nutritious food rich in essential nutrients.,Meat,,247,10.4,22.4,12.8,3.4,0.7,156.766,0.7,28.4,106.5,1.2,215.8,36.9,1.7,0.037,0.0,0.0,0.8,0.033
nachos with cheese,Nachos With Cheese is a nutritious food rich in essential nutrients.,Dairy,,274,3.5,27.9,17.2,2.6,1.7,51.581,0.3,2.4,0.05,0.029,158.4,0.6,0.068,0.044,0.2,0.9,0.0,3.3
pulled pork in barbecue sauce,Pulled Pork In Barbecue Sauce is a nutritious food rich in essential nutrients.,Meat,,418,32.8,46.7,11.0,3.0,37.8,206.7,1.7,87.2,109.6,3.1,759.5,54.8,4.6,0.0,0.5,0.064,2.2,0.099
baked potato with cheese sauce,Baked Potato With Cheese Sauce is a nutritious food rich in essential nutrients.,Vegetables,,474,14.6,46.5,28.7,0.0,0.0,429.9,0.4,17.8,310.8,3.0,1166.2,65.1,1.9,0.3,26.0,0.0,0.0,0.0
baked beans,Baked Beans is a nutritious food rich in essential nutrients.,Legumes,,310,11.1,43.3,10.3,11.0,0.0,76.2,0.8,10.0,0.0,0.3,218.0,4.0,0.052,0.0,0.2,2.2,0.0,0.0
arroz con frijoles,Arroz Con Frijoles is a nutritious food rich in essential nutrients.,Others,,220,6.8,35.6,5.6,5.0,1.3,109.3,0.6,0.0,54.0,2.3,327.0,38.0,1.1,0.0,0.0,0.0,0.7,0.096
taco with beef cheese lettuce,Taco With Beef Cheese Lettuce is a nutritious food rich in essential nutrients.,Vegetables,,156,6.1,13.7,8.8,2.7,0.6,93.825,0.3,19.3,61.4,0.8,144.2,22.1,1.2,0.043,0.3,0.06,0.4,0.057
burrito with beans cheese beef,Burrito With Beans Cheese Beef is a nutritious food rich in essential nutrients.,Dairy,,165,7.3,19.8,6.6,0.0,0.0,103.1,0.5,61.9,65.0,1.9,205.0,25.4,1.2,0.0,2.5,0.0,0.0,0.0
egg mix,Egg Mix is a nutritious food rich in essential nutrients.,Eggs,,30,2.4,0.098,2.2,0.0,0.091,4.876,0.012,81.5,0.078,0.055,31.5,0.4,0.043,0.078,0.034,0.0,0.049,0.2
falafel,Falafel is a nutritious food rich in essential nutrients.,Others,,57,2.3,5.4,3.0,0.0,0.0,10.763,0.081,0.0,0.0,0.002,32.6,0.6,0.018,0.0,0.01,0.3,0.0,0.0
taco salad with chili con carne,Taco Salad With Chili Con Carne is a nutritious food rich in essential nutrients.,Others,,193,11.6,17.7,8.8,0.0,0.0,205.9,0.6,3.5,163.6,1.8,261.0,34.8,2.2,0.1,2.3,0.0,0.0,0.0
wonton wrappers,Wonton Wrappers is a nutritious food rich in essential nutrients.,Others,,93,3.1,18.5,0.5,0.6,0.0,38.815,0.2,2.9,15.0,1.1,26.2,6.4,0.2,0.097,0.0,0.0,0.0,0.0
hushpuppies,Hushpuppies is a nutritious food rich in essential nutrients.,Others,,512,11.7,69.9,20.5,4.3,3.1,533.994,1.0,68.4,422.6,4.6,218.9,36.5,1.0,0.074,0.3,0.0,1.9,0.01
chicken pot pie,Chicken Pot Pie is a nutritious food rich in essential nutrients.,Meat,,598,14.6,57.3,34.6,3.0,7.2,177.7,1.2,51.3,63.4,1.8,317.1,33.2,1.3,0.0,3.0,0.024,1.1,0.034
general tsos chicken,General Tsos Chicken is a nutritious food rich in essential nutrients.,Meat,,1578,69.0,128.3,87.5,4.8,62.1,368.673,2.3,283.6,64.2,6.2,1075.4,96.3,7.0,0.081,8.6,0.015,6.5,0.2
burrito with beans cheese,Burrito With Beans Cheese is a nutritious food rich in essential nutrients.,Dairy,,379,13.6,57.8,11.2,7.8,3.2,324.946,1.0,9.3,229.4,4.4,482.9,62.9,1.6,0.033,0.7,0.02,1.0,0.02
vegetarian fillets,Vegetarian Fillets is a nutritious food rich in essential nutrients.,Others,,247,19.6,7.7,15.3,5.2,0.7,130.3,0.4,0.0,80.8,1.7,510.0,19.6,1.2,0.0,0.0,0.0,2.9,0.0
biscuit with egg sausage,Biscuit With Egg Sausage is a nutritious food rich in essential nutrients.,Eggs,,505,18.0,34.1,33.6,0.3,1.5,171.757,1.1,260.8,82.6,3.1,241.4,21.1,1.5,0.071,0.0,0.047,1.5,0.042
chicken chow mein,Chicken Chow Mein is a nutritious food rich in essential nutrients.,Meat,,513,40.8,50.1,16.9,6.0,10.5,256.797,1.9,96.6,126.8,4.0,749.0,66.4,1.9,0.093,12.1,0.0,2.6,0.1
fruit burrito,Fruit Burrito is a nutritious food rich in essential nutrients.,Others,,231,2.5,35.0,9.5,0.0,0.0,64.3,0.2,3.7,15.5,1.1,104.3,7.4,0.4,0.0,0.7,0.0,0.0,0.0
arroz con leche,Arroz Con Leche is a nutritious food rich in essential nutrients.,Others,,369,8.1,63.0,9.3,1.3,38.6,310.0,0.3,20.2,227.7,0.6,359.3,27.8,1.3,0.0,0.0,0.0,0.5,0.0
caramel custard flan,Caramel Custard Flan is a nutritious food rich in essential nutrients.,Others,,444,13.9,69.7,12.3,0.0,70.8,351.2,0.2,275.4,254.0,1.2,361.1,27.5,1.4,0.1,0.0,0.0,0.7,0.081
gelatin dessert,Gelatin Dessert is a nutritious food rich in essential nutrients.,Others,,167,3.3,38.3,0.0,0.0,36.4,49.792,0.2,0.0,8.1,0.094,2.7,2.7,0.014,0.0,0.0,0.0,0.0,0.0
chocolate milk dessert,Chocolate Milk Dessert is a nutritious food rich in essential nutrients.,Dairy,,229,5.9,51.6,1.4,0.0,51.6,270.99,0.1,0.0,211.0,0.02,456.2,61.7,0.6,0.0,1.0,0.0,0.0,0.0
chocolate mousse,Chocolate Mousse is a nutritious food rich in essential nutrients.,Others,,338,6.2,24.1,24.0,0.9,22.2,200.4,0.081,210.0,144.0,0.8,214.5,30.0,1.0,0.2,0.2,0.0,0.8,0.044
dulce de leche,Dulce De Leche is a nutritious food rich in essential nutrients.,Others,,60,1.3,10.5,1.4,0.0,9.5,61.415,0.036,5.5,47.7,0.001,66.5,4.2,0.2,0.094,0.5,0.04,0.087,0.008
apple crisp,Apple Crisp is a nutritious food rich in essential nutrients.,Fruits,,454,4.9,87.0,9.7,3.9,55.5,212.724,1.0,0.0,98.7,2.3,220.0,22.6,0.5,0.001,6.2,0.0,1.1,0.056
spinach spaghetti cooked,Spinach Spaghetti Cooked is a nutritious food rich in essential nutrients.,Vegetables,,182,6.4,36.6,0.9,0.0,0.0,87.4,0.061,0.0,42.0,1.5,81.2,86.8,1.5,0.0,0.0,0.0,0.0,0.0
corn pasta cooked,Corn Pasta Cooked is a nutritious food rich in essential nutrients.,Grains,,176,3.7,39.1,1.0,6.7,0.0,52.3,0.0,0.0,1.4,0.4,43.4,50.4,0.9,0.0,0.0,0.0,0.0,0.0
spaghetti with meat sauce,Spaghetti With Meat Sauce is a nutritious food rich in essential nutrients.,Others,,255,14.3,43.1,2.9,5.1,7.4,135.1,0.7,17.0,50.9,3.5,407.5,42.5,1.4,0.0,15.3,0.0,1.4,0.002
pasta with meatballs in tomato sauce,Pasta With Meatballs In Tomato Sauce is a nutritious food rich in essential nutrients.,Vegetables,,273,10.6,28.3,13.0,6.9,7.2,100.474,0.7,23.0,30.6,3.3,359.6,35.7,1.5,0.052,7.7,0.061,2.0,0.027
cheese tortellini,Cheese Tortellini is a nutritious food rich in essential nutrients.,Dairy,,332,14.6,50.8,7.8,2.1,1.0,241.181,0.4,45.4,164.2,1.6,96.1,22.7,1.1,0.079,0.0,0.0,0.2,0.087
pasta with sliced franks in tomato sauce,Pasta With Sliced Franks In Tomato Sauce is a nutritious food rich in essential nutrients.,Vegetables,,227,11.0,32.0,6.0,4.0,8.0,216.154,0.7,22.7,151.2,2.3,481.3,35.3,1.3,0.054,9.6,0.07,1.9,0.072
lasagna,Lasagna is a nutritious food rich in essential nutrients.,Others,,166,9.0,18.9,6.1,2.1,3.8,36.675,0.5,20.9,0.08,0.1,141.5,0.9,0.001,0.2,0.2,3.1,0.0,1.0
macaroni cheese,Macaroni Cheese is a nutritious food rich in essential nutrients.,Dairy,,310,12.6,43.7,9.4,2.3,3.0,68.319,0.9,15.1,0.0,0.1,442.3,2.2,0.0,0.2,0.056,0.0,0.0,1.0
vegetable lasagna,Vegetable Lasagna is a nutritious food rich in essential nutrients.,Others,,316,15.6,32.2,13.7,4.3,5.8,410.066,1.0,31.8,340.5,1.2,385.9,47.7,2.0,0.052,2.5,0.0,1.0,0.082
spinach egg noodles cooked,Spinach Egg Noodles Cooked is a nutritious food rich in essential nutrients.,Vegetables,,211,8.1,38.8,2.5,3.7,1.1,85.297,0.068,52.8,30.4,1.7,59.2,38.4,1.0,0.037,0.0,0.053,0.9,0.2
cheese lasagna,Cheese Lasagna is a nutritious food rich in essential nutrients.,Dairy,,316,15.9,33.6,13.0,4.1,10.3,381.08,0.7,31.6,269.7,3.1,442.3,51.0,2.2,0.084,41.6,0.0,2.1,0.097
pasta with tomato sauce,Pasta With Tomato Sauce is a nutritious food rich in essential nutrients.,Vegetables,,176,5.6,35.1,1.8,2.3,10.1,45.091,1.0,15.1,0.083,0.1,98.3,2.3,0.065,0.071,0.1,0.0,0.0,1.6
spinach pasta cooked,Spinach Pasta Cooked is a nutritious food rich in essential nutrients.,Vegetables,,37,1.4,7.1,0.3,0.0,0.0,14.201,0.004,9.3,5.1,0.3,10.5,6.8,0.2,0.039,0.0,0.0,0.0,0.0
vegetable chicken soup,Vegetable Chicken Soup is a nutritious food rich in essential nutrients.,Meat,,166,12.3,21.1,4.8,1.0,3.4,72.737,0.075,16.9,26.5,1.5,368.7,9.6,2.2,0.05,5.5,0.0,0.7,0.054
bean ham soup,Bean Ham Soup is a nutritious food rich in essential nutrients.,Meat,,198,10.3,33.5,2.5,9.8,7.8,154.4,0.5,4.9,93.1,2.5,387.1,46.6,1.3,0.0,2.7,0.0,1.0,0.035
cream of chicken soup,Cream Of Chicken Soup is a nutritious food rich in essential nutrients.,Dairy,,227,6.0,18.0,14.5,0.0,1.4,76.9,1.8,20.2,35.3,2.7,123.5,10.1,0.7,0.1,0.3,0.0,1.4,0.052
tomato soup canned,Tomato Soup Canned is a nutritious food rich in essential nutrients.,Vegetables,,139,6.3,22.6,3.3,1.5,16.5,224.932,0.5,10.1,173.9,1.4,461.2,30.2,0.9,0.014,15.9,0.07,0.5,0.083
egg drop soup,Egg Drop Soup is a nutritious food rich in essential nutrients.,Eggs,,65,2.8,10.3,1.5,1.0,0.2,48.808,0.9,55.4,16.9,0.6,53.0,4.8,0.2,0.002,15.7,0.08,0.3,0.041
scotch broth,Scotch Broth is a nutritious food rich in essential nutrients.,Others,,197,12.1,23.0,6.4,3.0,0.0,84.4,2.1,11.9,35.8,2.0,387.4,8.9,3.9,0.0,2.1,0.0,0.2,0.0
cream of onion soup,Cream Of Onion Soup is a nutritious food rich in essential nutrients.,Vegetables,,268,6.7,31.7,12.8,1.2,11.1,139.473,1.9,36.6,82.4,1.5,298.9,15.3,0.4,0.08,3.1,0.0,1.3,0.035
chicken broth dry,Chicken Broth Dry is a nutritious food rich in essential nutrients.,Meat,,10,0.7,1.1,0.2,0.0,0.0,11.198,1.2,0.6,9.1,0.059,18.0,2.7,0.079,0.0,0.07,0.0,0.074,0.0
vegetable soup with beef broth,Vegetable Soup With Beef Broth is a nutritious food rich in essential nutrients.,Meat,,162,6.0,26.3,3.8,3.2,4.0,80.5,1.3,2.5,34.4,1.9,386.2,12.3,1.6,0.2,4.7,0.0,0.3,0.065
chili with beans canned,Chili With Beans Canned is a nutritious food rich in essential nutrients.,Legumes,,287,14.6,30.5,14.1,11.3,3.0,204.0,1.3,43.5,120.3,8.8,934.4,115.2,5.1,0.0,4.4,0.0,1.3,0.074
beef noodle soup,Beef Noodle Soup is a nutritious food rich in essential nutrients.,Meat,,168,9.6,17.9,6.2,1.5,5.2,68.232,1.6,10.0,30.0,2.2,197.5,12.5,3.1,0.037,0.8,0.0,2.5,0.02
consomme dry,Consomme Dry is a nutritious food rich in essential nutrients.,Others,,17,2.2,1.9,0.2,0.0,1.1,17.2,0.8,0.0,12.5,0.2,57.3,7.5,0.082,0.0,0.2,0.0,0.033,0.0
chicken mushroom soup,Chicken Mushroom Soup is a nutritious food rich in essential nutrients.,Vegetables,,126,2.0,15.1,6.1,4.0,1.0,57.171,0.8,10.1,29.0,0.9,158.8,8.8,1.0,0.04,0.0,0.0,0.8,0.061
beef vegetable soup,Beef Vegetable Soup is a nutritious food rich in essential nutrients.,Meat,,120,8.0,15.4,2.9,3.0,3.1,84.9,0.8,17.5,45.0,1.3,435.0,25.0,1.4,0.3,9.0,0.0,1.1,0.04
black bean soup,Black Bean Soup is a nutritious food rich in essential nutrients.,Legumes,,234,12.4,39.6,3.4,17.5,6.4,167.3,2.5,0.0,90.0,3.9,642.5,84.8,2.8,0.0,0.5,0.0,0.9,0.035
split pea soup with ham bacon,Split Pea Soup With Ham Bacon is a nutritious food rich in essential nutrients.,Meat,,189,11.6,28.6,3.1,4.1,0.0,49.5,1.0,4.1,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cream of mushroom soup,Cream Of Mushroom Soup is a nutritious food rich in essential nutrients.,Vegetables,,199,3.4,17.1,13.4,1.8,1.0,66.404,1.7,0.0,30.2,0.5,161.3,7.6,0.3,0.057,0.0,0.071,1.3,0.024
green pea soup,Green Pea Soup is a nutritious food rich in essential nutrients.,Legumes,,320,16.7,51.7,5.7,10.0,16.7,145.005,1.7,0.0,53.8,3.8,371.2,76.8,3.3,0.067,3.3,0.0,0.5,0.024
chicken broth soup,Chicken Broth Soup is a nutritious food rich in essential nutrients.,Meat,,78,11.1,1.9,2.6,0.0,0.9,31.7,1.6,2.5,15.1,1.0,428.4,5.0,0.5,0.0,0.0,0.0,0.048,0.0
chicken mushroom chowder soup,Chicken Mushroom Chowder Soup is a nutritious food rich in essential nutrients.,Vegetables,,431,16.2,38.3,23.7,7.5,0.0,99.1,1.8,32.3,0.0,2.6,0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0
chicken dumplings soup,Chicken Dumplings Soup is a nutritious food rich in essential nutrients.,Meat,,235,13.6,14.7,13.4,1.2,1.4,80.269,1.8,80.5,35.8,1.5,283.1,8.9,0.9,0.077,0.0,0.0,1.3,0.086
chicken vegetable soup,Chicken Vegetable Soup is a nutritious food rich in essential nutrients.,Meat,,148,7.1,17.0,5.6,1.7,3.0,68.983,1.7,16.9,33.9,1.7,304.9,12.1,0.7,0.028,1.9,0.0,0.6,0.036
turkey vegetable soup,Turkey Vegetable Soup is a nutritious food rich in essential nutrients.,Meat,,72,3.1,8.6,3.0,0.5,2.6,33.0,0.9,2.4,16.9,0.8,175.9,4.8,0.6,0.1,0.0,0.0,0.8,0.017
wonton soup,Wonton Soup is a nutritious food rich in essential nutrients.,Others,,71,4.6,11.7,0.6,0.4,0.8,30.692,0.9,8.9,11.2,0.5,71.4,6.7,0.3,0.043,1.6,0.0,0.1,0.058
beef stock,Beef Stock is a nutritious food rich in essential nutrients.,Meat,,31,4.7,2.9,0.2,0.0,1.3,27.6,0.5,0.0,19.2,0.6,444.0,16.8,0.4,0.0,0.0,0.0,0.048,0.024
mushroom barley soup,Mushroom Barley Soup is a nutritious food rich in essential nutrients.,Vegetables,,186,4.6,29.3,5.5,0.0,0.0,71.1,1.7,0.0,30.5,1.2,231.8,21.4,1.2,0.0,0.0,0.0,0.0,0.0
gazpacho soup,Gazpacho Soup is a nutritious food rich in essential nutrients.,Others,,70,10.7,6.6,0.4,0.7,2.2,67.5,1.1,0.0,36.9,1.5,339.5,11.1,0.4,0.0,10.7,0.0,0.7,0.041
beef mushroom soup,Beef Mushroom Soup is a nutritious food rich in essential nutrients.,Vegetables,,186,14.0,15.9,7.3,0.6,0.0,52.1,2.2,15.3,12.2,2.1,384.3,21.4,3.4,0.0,0.0,0.0,0.0,0.0
chicken rice soup,Chicken Rice Soup is a nutritious food rich in essential nutrients.,Meat,,127,12.3,13.0,3.2,1.0,1.4,68.818,0.9,12.0,33.6,1.9,108.0,9.6,1.0,0.047,3.8,0.0,0.6,0.084
pepperpot soup,Pepperpot Soup is a nutritious food rich in essential nutrients.,Vegetables,,100,6.2,9.1,4.5,0.5,0.0,49.1,0.9,9.7,26.7,0.9,148.2,4.9,1.2,0.0,1.2,0.0,0.097,0.0
vegetable soup,Vegetable Soup is a nutritious food rich in essential nutrients.,Others,,149,4.3,24.6,4.0,1.3,7.9,82.2,1.3,0.0,42.8,2.2,430.9,15.1,1.0,0.0,3.0,0.0,2.9,0.041
chili beef soup,Chili Beef Soup is a nutritious food rich in essential nutrients.,Meat,,308,13.4,49.6,6.7,6.6,13.4,77.607,2.1,26.3,0.072,0.8,297.2,4.3,0.001,0.2,0.3,8.2,0.0,2.8
chicken soup,Chicken Soup is a nutritious food rich in essential nutrients.,Meat,,174,12.4,16.9,6.5,1.5,2.1,64.716,0.9,29.4,24.5,1.7,171.5,7.4,1.0,0.027,1.2,0.0,0.3,0.085
bean with frankfurters soup,Bean With Frankfurters Soup is a nutritious food rich in essential nutrients.,Legumes,,188,10.0,22.0,7.0,0.0,0.0,129.9,1.1,12.5,87.5,2.4,477.5,47.5,1.2,0.0,1.0,0.0,0.0,0.0
pea soup,Pea Soup is a nutritious food rich in essential nutrients.,Legumes,,161,8.3,25.6,2.8,4.9,8.3,76.26,0.015,0.0,31.1,1.9,183.9,38.9,1.7,0.055,1.6,0.0,0.2,0.066
turkey soup,Turkey Soup is a nutritious food rich in essential nutrients.,Meat,,135,10.2,14.1,4.4,0.0,0.0,86.6,0.9,9.4,49.6,1.9,361.1,23.6,2.1,0.0,6.4,0.0,0.0,0.0
stockpot soup,Stockpot Soup is a nutritious food rich in essential nutrients.,Others,,201,9.8,23.1,7.8,0.0,0.0,90.5,2.1,7.7,43.9,1.8,477.3,7.7,2.3,0.0,4.1,0.0,0.0,0.0
hot sour soup,Hot Sour Soup is a nutritious food rich in essential nutrients.,Others,,91,6.0,10.1,2.8,1.2,1.0,65.954,0.9,48.9,44.3,1.5,128.2,21.0,0.5,0.088,0.0,0.017,0.9,0.059
cheese soup,Cheese Soup is a nutritious food rich in essential nutrients.,Dairy,,203,2.0,28.0,9.7,5.5,9.3,135.1,1.7,7.4,89.3,0.4,91.8,29.8,0.4,0.2,0.0,0.0,1.4,0.074
cream of potato soup,Cream Of Potato Soup is a nutritious food rich in essential nutrients.,Vegetables,,186,3.8,32.2,4.7,3.3,3.6,88.202,1.5,2.5,42.8,0.9,415.8,32.8,0.4,0.087,0.5,0.0,0.2,0.056
bean with bacon soup,Bean With Bacon Soup is a nutritious food rich in essential nutrients.,Meat,,106,5.5,16.4,2.1,9.0,0.6,91.1,0.9,2.7,55.7,1.3,326.0,29.2,0.7,0.0,1.1,0.0,0.6,0.009
fish stock,Fish Stock is a nutritious food rich in essential nutrients.,Seafood,,40,5.3,0.0,1.9,0.0,0.0,14.488,0.4,2.3,7.0,0.019,335.5,16.3,0.1,0.036,0.2,0.0,0.4,0.0
split pea soup with ham,Split Pea Soup With Ham is a nutritious food rich in essential nutrients.,Meat,,381,20.7,56.2,8.9,4.6,0.0,141.2,1.7,16.2,43.2,4.6,801.9,97.2,2.7,0.0,3.0,0.0,0.0,0.0
beef broth soup,Beef Broth Soup is a nutritious food rich in essential nutrients.,Meat,,17,2.7,0.01,0.5,0.0,0.0,18.049,0.9,0.0,14.4,0.4,129.6,4.8,0.0,0.0,0.0,0.0,0.0,0.0
lentil soup with ham,Lentil Soup With Ham is a nutritious food rich in essential nutrients.,Meat,,139,9.3,20.2,2.8,0.0,0.0,81.4,1.3,7.4,42.2,2.7,357.1,22.3,0.7,0.0,4.2,0.0,0.0,0.0
tomato soup,Tomato Soup is a nutritious food rich in essential nutrients.,Vegetables,,98,2.2,22.5,0.7,1.6,12.2,66.2,0.6,0.0,19.2,0.9,831.8,20.7,0.3,0.0,19.1,0.0,0.5,0.034
fish broth,Fish Broth is a nutritious food rich in essential nutrients.,Seafood,,39,4.9,1.0,1.5,0.0,0.2,81.193,0.5,0.0,73.2,0.5,209.8,2.4,0.2,0.068,0.0,0.0,0.4,0.094
chili without beans canned,Chili Without Beans Canned is a nutritious food rich in essential nutrients.,Legumes,,283,18.1,14.6,17.0,0.0,0.0,130.8,0.9,50.4,72.0,4.8,444.0,48.0,2.7,0.0,4.3,0.0,0.0,0.0
minestrone soup,Minestrone Soup is a nutritious food rich in essential nutrients.,Others,,167,8.6,22.6,5.0,2.0,3.7,111.1,1.3,2.5,68.9,1.8,627.3,14.8,1.5,0.0,2.2,0.0,1.1,0.052
clam chowder soup,Clam Chowder Soup is a nutritious food rich in essential nutrients.,Others,,154,4.4,24.5,4.4,3.0,6.8,95.69,1.8,5.0,47.9,3.3,378.0,20.2,1.9,0.051,8.1,0.0,2.6,0.011
tomato vegetable soup,Tomato Vegetable Soup is a nutritious food rich in essential nutrients.,Vegetables,,54,1.9,9.9,0.8,0.7,2.4,36.4,0.3,0.0,19.6,0.6,164.2,9.8,0.2,0.0,2.9,0.0,0.4,0.079
cream of rice coup,Cream Of Rice Coup is a nutritious food rich in essential nutrients.,Dairy,,127,2.2,28.1,0.2,0.2,0.022,38.5,0.4,0.0,7.3,0.5,48.8,7.3,0.4,0.0,0.0,0.0,0.092,0.0
cream of celery soup,Cream Of Celery Soup is a nutritious food rich in essential nutrients.,Vegetables,,181,3.3,17.7,11.2,1.5,3.4,116.189,1.3,27.7,80.6,1.3,247.0,12.6,0.3,0.042,0.5,0.0,3.5,0.002
chicken gravy,Chicken Gravy is a nutritious food rich in essential nutrients.,Meat,,188,4.6,12.9,13.6,1.0,1.9,80.872,1.0,4.8,47.6,1.1,259.4,4.8,1.9,0.088,0.0,0.0,0.3,0.046
tomato rice soup,Tomato Rice Soup is a nutritious food rich in essential nutrients.,Vegetables,,240,4.2,44.1,5.5,3.4,15.2,134.933,1.6,2.6,46.4,1.6,663.1,10.3,1.0,0.042,29.7,0.0,4.5,0.081
vegetable beef soup,Vegetable Beef Soup is a nutritious food rich in essential nutrients.,Meat,,128,18.1,9.6,2.0,4.4,0.0,34.1,1.1,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomato beef noodle soup,Tomato Beef Noodle Soup is a nutritious food rich in essential nutrients.,Vegetables,,281,8.9,42.3,8.6,3.0,0.0,100.1,1.8,7.5,35.1,2.2,441.8,15.1,1.5,0.0,0.0,0.0,1.6,0.0
oyster stew soup,Oyster Stew Soup is a nutritious food rich in essential nutrients.,Others,,118,4.2,8.2,7.7,0.0,0.0,72.8,1.8,27.1,44.3,2.0,98.4,9.8,20.7,0.0,6.4,0.0,0.0,0.0
